hash	count	file
4371447e8d58c1e2757871013a45a383	2	/mnt/c/Users/sverschaeve/OneDrive - ITG/Documents/2. HAT disease/2. Literature/Burden/The Natural Progression of Gambiense Sleeping.pdf
4371447e8d58c1e2757871013a45a383	2	/mnt/c/Users/sverschaeve/OneDrive - ITG/Documents/2. HAT disease/2. Literature/Clinical & Treatment/The Natural Progression of Gambiense Sleeping Sickness.pdf
3955390126a54caf8db612fd55b660c1	2	/mnt/c/Users/sverschaeve/OneDrive - ITG/Documents/2. HAT disease/2. Literature/History/WHO_HTM_NTD_IDM_2013.4_eng.pdf
3955390126a54caf8db612fd55b660c1	2	/mnt/c/Users/sverschaeve/OneDrive - ITG/Documents/2. HAT disease/2. Literature/WHO Atlas/Report of a WHO meeting on elimination of human African trypanosomiasis (trypanosoma brucei gambiense).pdf
5b830a311f7080da70d89ee32d8db14f	2	/mnt/c/Users/sverschaeve/OneDrive - ITG/Documents/2. HAT disease/2. Literature/Elimination/Towards the sustainable elimination of gambiense human African trypanosomiasis in Côte d'Ivoire using an integrated approach.pdf
5b830a311f7080da70d89ee32d8db14f	2	/mnt/c/Users/sverschaeve/OneDrive - ITG/Documents/2. HAT disease/2. Literature/Statistics & Mathematical Modelling/Warwick/journal.pntd.0011514.pdf
0def1f0cda3bbdf5087dc74f15779e03	2	/mnt/c/Users/sverschaeve/OneDrive - ITG/Documents/2. HAT disease/2. Literature/Clinical & Treatment/Screen&TreatStudy_Acozobirole_Proposal_STROGHAT_submitted.pdf
0def1f0cda3bbdf5087dc74f15779e03	2	/mnt/c/Users/sverschaeve/OneDrive - ITG/Documents/2. HAT disease/2. Literature/Screening & Surveillance/Screen&TreatStudy_Acozobirole_Proposal_STROGHAT_submitted.pdf
d211e8a1550f57f9faf9969b421d45df	2	/mnt/c/Users/sverschaeve/OneDrive - ITG/Documents/2. HAT disease/2. Literature/Statistics & Mathematical Modelling/Modelling to infer the role of animals in gambiense human African trypanosomiasis transmission and elimination in the DRC.pdf
d211e8a1550f57f9faf9969b421d45df	2	/mnt/c/Users/sverschaeve/OneDrive - ITG/Documents/2. HAT disease/2. Literature/Statistics & Mathematical Modelling/Warwick/journal.pntd.0010599.pdf
1b9397bb6170e04afc35248b6fe4ad97	3	/mnt/c/Users/sverschaeve/OneDrive - ITG/Documents/2. HAT disease/2. Literature/Health Economics/Cost-effectiveness of sleeping sickness elimination campaigns in five settings of the Democratic Republic of Congo.pdf
1b9397bb6170e04afc35248b6fe4ad97	3	/mnt/c/Users/sverschaeve/OneDrive - ITG/Documents/2. HAT disease/2. Literature/Statistics & Mathematical Modelling/Warwick/s41467-022-28598-w (1).pdf
1b9397bb6170e04afc35248b6fe4ad97	3	/mnt/c/Users/sverschaeve/OneDrive - ITG/Documents/2. HAT disease/2. Literature/Statistics & Mathematical Modelling/Warwick/s41467-022-28598-w.pdf
8c9b65dfa18854e7e85fb0a321c127bb	2	/mnt/c/Users/sverschaeve/OneDrive - ITG/Documents/2. HAT disease/2. Literature/Diagnostics/A Phase III Diagnostic Accuracy Study of a Rapid Diagnostic Test for Diagnosis of Second-Stage Human African Trypanosomiasis in the.pdf
8c9b65dfa18854e7e85fb0a321c127bb	2	/mnt/c/Users/sverschaeve/OneDrive - ITG/Documents/2. HAT disease/2. Literature/Diagnostics/PhaseIII_RDT_CORIS.pdf
3d4a7c02d4a452e5d12825154a5bcdec	2	/mnt/c/Users/sverschaeve/OneDrive - ITG/Documents/2. HAT disease/2. Literature/Overview/WHO control and surveillance HAT.pdf
3d4a7c02d4a452e5d12825154a5bcdec	2	/mnt/c/Users/sverschaeve/OneDrive - ITG/Documents/2. HAT disease/2. Literature/WHO Atlas/WHO control and surveillance HAT.pdf
fce2809981b2eb91097c75e213b28859	2	/mnt/c/Users/sverschaeve/OneDrive - ITG/Documents/2. HAT disease/2. Literature/Diagnostics/Two-Year Follow-Up of Trypanosoma brucei gambiense Serology after Successful Treatment of Human African Trypanosomiasis Results of Four Different Sero-Diagnostic Tests.pdf
fce2809981b2eb91097c75e213b28859	2	/mnt/c/Users/sverschaeve/OneDrive - ITG/Documents/2. HAT disease/2. Literature/Diagnostics/Two-year follow-up of gHAT serology after succesful treatment of HAT - results of four different sero-diagnostic tests.pdf
304eed6437ad2496cfc393dbc16689f0	2	/mnt/c/Users/sverschaeve/OneDrive - ITG/Documents/2. HAT disease/2. Literature/Statistics & Mathematical Modelling/Identifying regions for enhanced control of gambiense sleeping sickness in the Democratic Republic of Congo.pdf
304eed6437ad2496cfc393dbc16689f0	2	/mnt/c/Users/sverschaeve/OneDrive - ITG/Documents/2. HAT disease/2. Literature/Statistics & Mathematical Modelling/Warwick/s41467-022-29192-w.pdf
2a9a186fce5d81d6bb64ddb41e8429a4	2	/mnt/c/Users/sverschaeve/OneDrive - ITG/Documents/2. HAT disease/2. Literature/Integration/Human African Trypanosomiasis Diagnosis in First-Line Health Services of Endemic Countries, a Systematic Review.pdf
2a9a186fce5d81d6bb64ddb41e8429a4	2	/mnt/c/Users/sverschaeve/OneDrive - ITG/Documents/2. HAT disease/2. Literature/Screening & Surveillance/Passive/Human african trypanosomiasis diagnosis in first-line health services of endemic countries, a systematic review.pdf
